Date;Open;High;Low;Close;Predicted Median Price;Predicted Close
2005.09.07;1.246;1.2533;1.2404;1.241;0.733696124067;0.0
2005.09.08;1.2409;1.245;1.238;1.2396;1.18134706957;0.0
2005.09.09;1.2397;1.2457;1.2375;1.2407;1.23061498838;0.0
2005.09.12;1.2403;1.2414;1.227;1.2276;1.23968726577;0.0
2005.09.13;1.2281;1.2315;1.2243;1.2268;1.23344158968;0.0
2005.09.14;1.2269;1.2331;1.2257;1.2281;1.22941225547;0.0
2005.09.15;1.2283;1.2284;1.2191;1.222;1.22839631688;0.0
2005.09.16;1.2221;1.2308;1.2198;1.2235;1.22344959552;0.0
2005.09.19;1.2158;1.2171;1.2098;1.2135;1.22506725028;0.0
2005.09.20;1.2136;1.2187;1.211;1.2118;1.21562792708;0.0
2005.09.21;1.2117;1.2237;1.2111;1.2223;1.21462685171;0.0
2005.09.22;1.2222;1.2269;1.2129;1.2147;1.21875583658;0.0
2005.09.23;1.2149;1.2165;1.2037;1.2037;1.21762739847;0.0
2005.09.26;1.2024;1.2079;1.2008;1.2068;1.20808711623;0.0
2005.09.27;1.2067;1.208;1.1976;1.2016;1.20597397119;0.0
2005.09.28;1.2013;1.2054;1.199;1.2041;1.20305934466;0.0
2005.09.29;1.2039;1.2073;1.2005;1.2033;1.20290897006;0.0
2005.09.30;1.2032;1.2089;1.1996;1.2025;1.20438258759;0.0
2005.10.03;1.2018;1.2031;1.1901;1.1917;1.2034445111;0.0
2005.10.04;1.1916;1.1945;1.1899;1.1918;1.19606310459;0.0
2005.10.05;1.1917;1.2016;1.1914;1.2011;1.1923930452;0.0
2005.10.06;1.201;1.2201;1.1991;1.2179;1.19673238396;0.0
2005.10.07;1.2181;1.2181;1.2091;1.2127;1.21016041674;0.0
2005.10.10;1.2117;1.2151;1.2038;1.2064;1.21231457908;0.0
2005.10.11;1.2065;1.2066;1.1974;1.1986;1.20915455282;0.0
2005.10.12;1.1988;1.2052;1.1952;1.2026;1.20140620016;0.0
2005.10.13;1.2028;1.2039;1.1912;1.2022;1.20060641826;0.0
2005.10.14;1.2024;1.2107;1.1979;1.2072;1.19827896125;0.0
2005.10.17;1.2076;1.2119;1.201;1.2016;1.20468806396;0.0
2005.10.18;1.2017;1.2019;1.1914;1.1964;1.20548419824;0.0
2005.10.19;1.1965;1.2001;1.1873;1.1994;1.19883135184;0.0
2005.10.20;1.1993;1.2022;1.1946;1.2016;1.19556759145;0.0
2005.10.21;1.2017;1.2076;1.1927;1.1952;1.19755338134;0.0
2005.10.24;1.1942;1.2019;1.1921;1.1976;1.19807163328;0.0
2005.10.25;1.1975;1.2116;1.1934;1.2108;1.19849318011;0.0
2005.10.26;1.2109;1.2134;1.2047;1.2056;1.20543412198;0.0
2005.10.27;1.2058;1.2171;1.2041;1.2135;1.20651949289;0.0
2005.10.28;1.2138;1.2168;1.2048;1.2068;1.21007996189;0.0
2005.10.31;1.2058;1.2088;1.1966;1.1979;1.20852359776;0.0
2005.11.01;1.198;1.2039;1.197;1.2032;1.20187845628;0.0
2005.11.02;1.2031;1.2082;1.1985;1.2071;1.20287417733;0.0
2005.11.03;1.2073;1.2079;1.1934;1.194;1.20423296104;0.0
2005.11.04;1.1942;1.1991;1.1801;1.1811;1.19916987374;0.0
2005.11.07;1.1802;1.1831;1.1774;1.1787;1.18876247091;0.0
2005.11.08;1.1786;1.1796;1.1707;1.1779;1.18159097878;0.0
2005.11.09;1.1778;1.1786;1.1714;1.1765;1.17645698192;0.0
2005.11.10;1.1764;1.1796;1.1675;1.1689;1.17646903103;0.0
2005.11.11;1.169;1.1732;1.1669;1.1732;1.17341681912;0.0
2005.11.14;1.1719;1.1773;1.1659;1.1691;1.17169843722;0.0
2005.11.15;1.169;1.1726;1.1639;1.1718;1.1707508603;0.0
2005.11.16;1.1717;1.1735;1.1644;1.167;1.1697038027;0.0
2005.11.17;1.1671;1.1759;1.1641;1.174;1.16784199064;0.0
2005.11.18;1.1742;1.1794;1.1661;1.1773;1.17032259866;0.0
2005.11.21;1.1778;1.1834;1.1717;1.1723;1.17375120108;0.0
2005.11.22;1.1724;1.1823;1.1683;1.182;1.17536427317;0.0
2005.11.23;1.1819;1.1865;1.1761;1.181;1.17768180807;0.0
2005.11.24;1.1811;1.1823;1.1769;1.1777;1.1797967152;0.0
2005.11.25;1.1776;1.1781;1.171;1.1722;1.17792483235;0.0
2005.11.28;1.1705;1.19;1.1679;1.1844;1.17458337829;0.0
2005.11.29;1.1845;1.1859;1.1736;1.1765;1.18040941738;0.0
2005.11.30;1.1766;1.1801;1.1752;1.1789;1.17846806712;0.0
2005.12.01;1.1788;1.1801;1.1688;1.1736;1.1778686299;0.0
2005.12.02;1.1735;1.1748;1.1659;1.1716;1.17458996928;0.0
2005.12.05;1.1696;1.1817;1.1688;1.1791;1.17176502989;0.0
2005.12.06;1.179;1.1806;1.1754;1.1778;1.1757300391;0.0
2005.12.07;1.1779;1.1801;1.1703;1.1712;1.17728631953;0.0
2005.12.08;1.1713;1.1847;1.1703;1.1816;1.17426731953;0.0
2005.12.09;1.1817;1.1836;1.1764;1.181;1.17944000923;0.0
2005.12.12;1.1787;1.1979;1.1784;1.1951;1.17947703927;0.0
2005.12.13;1.1952;1.1986;1.1904;1.1933;1.18802746952;0.0
2005.12.14;1.1934;1.2059;1.1933;1.1989;1.19230824556;0.0
2005.12.15;1.199;1.2037;1.1936;1.1969;1.19888764355;0.0
2005.12.16;1.1968;1.2026;1.1936;1.2011;1.19775784346;0.0
2005.12.19;1.2029;1.2037;1.1973;1.1999;1.19899074762;0.0
2005.12.20;1.2002;1.2011;1.1839;1.1861;1.19945100298;0.0
2005.12.21;1.1859;1.191;1.18;1.183;1.19160084411;0.0
2005.12.22;1.1831;1.1895;1.1808;1.1871;1.1865651455;0.0
2005.12.23;1.187;1.1883;1.1827;1.1862;1.18629687973;0.0
2005.12.26;1.1856;1.1894;1.1829;1.1845;1.18630374426;0.0
2005.12.27;1.1846;1.1874;1.1824;1.1827;1.18591931482;0.0
2005.12.28;1.1828;1.1929;1.1811;1.1834;1.1850327271;0.0
2005.12.29;1.1832;1.1878;1.1815;1.1838;1.18556823222;0.0
2005.12.30;1.184;1.1885;1.1775;1.1846;1.18465966042;0.0
2006.01.02;1.184;1.1864;1.1799;1.1816;1.18398558672;0.0
2006.01.03;1.1818;1.2029;1.1808;1.2013;1.18221909843;0.0
2006.01.04;1.2011;1.2143;1.2011;1.2106;1.19356930342;0.0
2006.01.05;1.2105;1.2119;1.2065;1.2098;1.20554711591;0.0
2006.01.06;1.2099;1.2179;1.2078;1.215;1.2083765723;0.0
2006.01.09;1.2144;1.2153;1.2051;1.2079;1.21310100347;0.0
2006.01.10;1.2078;1.2108;1.2034;1.2056;1.20932419339;0.0
2006.01.11;1.2058;1.2141;1.2044;1.2138;1.20651133022;0.0
2006.01.12;1.2136;1.2162;1.2005;1.2029;1.21007555078;0.0
2006.01.13;1.2031;1.2143;1.2028;1.214;1.20743109747;0.0
2006.01.16;1.215;1.2173;1.2106;1.2113;1.21106267592;0.0
2006.01.17;1.2114;1.2139;1.205;1.2114;1.21220993169;0.0
2006.01.18;1.2112;1.2158;1.2069;1.2116;1.2105575451;0.0
2006.01.19;1.2117;1.2124;1.2052;1.2089;1.21105281311;0.0
2006.01.20;1.209;1.2144;1.2039;1.2135;1.20996250625;0.0
2006.01.23;1.2141;1.231;1.2141;1.2294;1.21048730611;0.0
2006.01.24;1.2295;1.2321;1.2254;1.2267;1.2232545376;0.0
2006.01.25;1.2268;1.2321;1.2234;1.224;1.22681761231;0.0
2006.01.26;1.2242;1.2268;1.2196;1.2204;1.22602444986;0.0
2006.01.27;1.2206;1.2234;1.2084;1.2092;1.22239451886;0.0
2006.01.30;1.2103;1.2113;1.2062;1.209;1.21483318904;0.0
2006.01.31;1.2091;1.2188;1.2077;1.2146;1.2100033321;0.0
2006.02.01;1.2143;1.2162;1.2046;1.2056;1.21425562577;0.0
2006.02.02;1.2055;1.2106;1.2031;1.2085;1.21002768805;0.0
2006.02.03;1.2086;1.2111;1.1967;1.2023;1.20892311795;0.0
2006.02.06;1.2031;1.2045;1.1945;1.1971;1.20394642323;0.0
2006.02.07;1.197;1.2014;1.194;1.1984;1.19844311804;0.0
2006.02.08;1.1983;1.1992;1.1922;1.1956;1.19826210322;0.0
2006.02.09;1.1958;1.1994;1.1945;1.1984;1.19644679591;0.0
2006.02.10;1.1985;1.2024;1.1891;1.1904;1.19804717648;0.0
2006.02.13;1.1896;1.1918;1.1875;1.19;1.19453141821;0.0
2006.02.14;1.1899;1.1922;1.1858;1.1911;1.19061054407;0.0
2006.02.15;1.1912;1.1953;1.1869;1.1891;1.18874676943;0.0
2006.02.16;1.1892;1.1907;1.1847;1.1902;1.18992647517;0.0
2006.02.17;1.1901;1.1942;1.1857;1.1939;1.18957585525;0.0
2006.02.20;1.1924;1.1973;1.1922;1.1935;1.19134354796;0.0
2006.02.21;1.1934;1.1936;1.189;1.1906;1.19376216963;0.0
2006.02.22;1.1907;1.1928;1.1861;1.1909;1.19092256625;0.0
2006.02.23;1.191;1.1967;1.189;1.1917;1.18997299151;0.0
2006.02.24;1.1918;1.1932;1.1862;1.1875;1.19113089626;0.0
2006.02.27;1.1862;1.1877;1.1825;1.1845;1.18925115534;0.0
2006.02.28;1.1844;1.1939;1.1833;1.1927;1.18587755764;0.0
2006.03.01;1.1926;1.1972;1.1889;1.192;1.18934052605;0.0
2006.03.02;1.1921;1.2044;1.1912;1.2032;1.19200218772;0.0
2006.03.03;1.2031;1.2051;1.1994;1.2044;1.19844418032;0.0
2006.03.06;1.205;1.2092;1.1988;1.2006;1.20176083405;0.0
2006.03.07;1.2005;1.202;1.1867;1.1885;1.20231488061;0.0
2006.03.08;1.1886;1.1939;1.1872;1.1926;1.19386757278;0.0
2006.03.09;1.1927;1.1951;1.1898;1.1905;1.19178536829;0.0
2006.03.10;1.1904;1.1926;1.1859;1.1907;1.19080388614;0.0
2006.03.13;1.1914;1.1967;1.1912;1.1959;1.19077144572;0.0
2006.03.14;1.1958;1.203;1.1939;1.2013;1.19507289787;0.0
2006.03.15;1.2014;1.2072;1.2005;1.2066;1.19857242929;0.0
2006.03.16;1.2065;1.2188;1.2035;1.2169;1.20371931943;0.0
2006.03.17;1.217;1.2206;1.2139;1.2189;1.21150774004;0.0
2006.03.20;1.2176;1.2195;1.2145;1.2159;1.21613361658;0.0
2006.03.21;1.216;1.2165;1.2075;1.2111;1.21616060544;0.0
2006.03.22;1.211;1.2113;1.2064;1.2076;1.21251827277;0.0
2006.03.23;1.2077;1.2079;1.1953;1.1967;1.20888863784;0.0
2006.03.24;1.1966;1.2044;1.195;1.2035;1.20063950451;0.0
2006.03.27;1.2038;1.2057;1.2004;1.2014;1.20199397971;0.0
2006.03.28;1.2013;1.2105;1.1991;1.1998;1.20228764892;0.0
2006.03.29;1.1999;1.2047;1.1979;1.2022;1.20386341935;0.0
2006.03.30;1.2021;1.2171;1.202;1.2165;1.20287248204;0.0
2006.03.31;1.2164;1.2174;1.2082;1.2118;1.21076170585;0.0
2006.04.03;1.2116;1.2146;1.2032;1.213;1.21091609817;0.0
2006.04.04;1.2129;1.2275;1.2118;1.2258;1.21054548282;0.0
2006.04.05;1.2259;1.2304;1.2242;1.229;1.22044328036;0.0
2006.04.06;1.2289;1.2331;1.2195;1.2216;1.22581576171;0.0
2006.04.07;1.2215;1.2224;1.209;1.2091;1.22446559232;0.0
2006.04.10;1.2104;1.2128;1.2074;1.2112;1.21504194501;0.0
2006.04.11;1.2111;1.2153;1.2089;1.2139;1.21134637694;0.0
2006.04.12;1.2138;1.2167;1.2065;1.2102;1.21274118399;0.0
2006.04.13;1.2103;1.2131;1.2068;1.2107;1.21198085243;0.0
2006.04.14;1.2108;1.2117;1.2098;1.2109;1.211661163;0.0
2006.04.17;1.2119;1.2286;1.2119;1.2255;1.21121125524;0.0
2006.04.18;1.2256;1.2367;1.2222;1.2362;1.22064133612;0.0
2006.04.19;1.2363;1.2393;1.2284;1.2375;1.22913134215;0.0
2006.04.20;1.2376;1.2377;1.2285;1.2313;1.23377441199;0.0
2006.04.21;1.2315;1.2358;1.2266;1.234;1.23224404322;0.0
2006.04.24;1.237;1.2413;1.2331;1.2381;1.23236894447;0.0
2006.04.25;1.2383;1.2437;1.2365;1.2426;1.236200062;0.0
2006.04.26;1.2425;1.2469;1.2384;1.2446;1.24008479601;0.0
2006.04.27;1.2445;1.2546;1.2403;1.2527;1.24315783256;0.0
2006.04.28;1.2528;1.2639;1.2519;1.2634;1.24865989161;0.0
2006.05.01;1.2628;1.2688;1.2553;1.2565;1.25882646435;0.0
2006.05.02;1.2566;1.2666;1.2557;1.261;1.259294149;0.0
2006.05.03;1.2611;1.2667;1.2589;1.2629;1.26103936516;0.0
2006.05.04;1.2628;1.2723;1.2569;1.2696;1.26240588356;0.0
2006.05.05;1.2695;1.2764;1.2674;1.2726;1.26596274791;0.0
2006.05.08;1.2745;1.2786;1.2692;1.2702;1.27163601687;0.0
2006.05.09;1.2704;1.2781;1.2661;1.2762;1.27254784017;0.0
2006.05.10;1.2761;1.2832;1.2751;1.2782;1.27400428052;0.0
2006.05.11;1.2783;1.2871;1.2684;1.2835;1.27782258737;0.0
2006.05.12;1.2836;1.2956;1.2829;1.2926;1.28004407282;0.0
2006.05.15;1.2945;1.2971;1.2778;1.2799;1.28919385251;0.0
2006.05.16;1.2798;1.2867;1.277;1.2858;1.28550714752;0.0
2006.05.17;1.2856;1.292;1.2701;1.2727;1.28481837678;0.0
2006.05.18;1.2728;1.2872;1.2724;1.2856;1.27835253581;0.0
2006.05.19;1.2855;1.2864;1.2693;1.2777;1.28254701675;0.0
2006.05.22;1.276;1.2884;1.2693;1.2858;1.27780198583;0.0
2006.05.23;1.2859;1.2878;1.2777;1.2783;1.28197231222;0.0
2006.05.24;1.2781;1.289;1.273;1.2756;1.28145843743;0.0
2006.05.25;1.2755;1.2827;1.2747;1.2827;1.28008166661;0.0
2006.05.26;1.2825;1.2832;1.2699;1.2737;1.28071686128;0.0
2006.05.29;1.2725;1.2768;1.2717;1.2747;1.27528941709;0.0
2006.05.30;1.2748;1.2908;1.2742;1.2874;1.2749092222;0.0
2006.05.31;1.2873;1.2902;1.2805;1.2816;1.28414699002;0.0
2006.06.01;1.2817;1.2823;1.2723;1.2813;1.28381159512;0.0
2006.06.02;1.2814;1.2939;1.2796;1.2917;1.27975208498;0.0
2006.06.05;1.2925;1.2978;1.2897;1.2903;1.28718673607;0.0
2006.06.06;1.2902;1.2933;1.2809;1.2823;1.29117501462;0.0
2006.06.07;1.2824;1.2836;1.276;1.2801;1.28575978585;0.0
2006.06.08;1.2803;1.2808;1.2626;1.2651;1.28158185178;0.0
2006.06.09;1.2652;1.2683;1.2596;1.2638;1.27036885343;0.0
2006.06.12;1.2613;1.265;1.2565;1.2581;1.26435081519;0.0
2006.06.13;1.258;1.2614;1.253;1.2543;1.26053847375;0.0
2006.06.14;1.2542;1.2647;1.2534;1.2605;1.25667668967;0.0
2006.06.15;1.2604;1.2657;1.2581;1.2631;1.26027519364;0.0
2006.06.16;1.263;1.2671;1.2617;1.2641;1.26278188745;0.0
2006.06.19;1.2647;1.2651;1.2552;1.2574;1.26334128415;0.0
2006.06.20;1.2575;1.2615;1.2538;1.2584;1.25955636827;0.0
2006.06.21;1.2585;1.2676;1.2581;1.2666;1.25796942303;0.0
2006.06.22;1.2665;1.2678;1.255;1.2569;1.26310249386;0.0
2006.06.23;1.257;1.2587;1.2478;1.2506;1.25921336989;0.0
2006.06.26;1.2507;1.2602;1.2501;1.2586;1.25384459044;0.0
2006.06.27;1.2587;1.2618;1.2562;1.2574;1.25596892336;0.0
2006.06.28;1.2573;1.2585;1.2516;1.2548;1.25744685352;0.0
2006.06.29;1.2547;1.2669;1.252;1.2666;1.25536469293;0.0
2006.06.30;1.2667;1.2794;1.2656;1.279;1.26219237445;0.0
2006.07.03;1.2786;1.2821;1.2761;1.2791;1.27302772713;0.0
2006.07.04;1.2792;1.2821;1.2787;1.279;1.27719969311;0.0
2006.07.05;1.2789;1.2838;1.2707;1.2724;1.27944407368;0.0
2006.07.06;1.2723;1.2782;1.2719;1.2778;1.2752213113;0.0
2006.07.07;1.2777;1.2861;1.2766;1.281;1.27586415779;0.0
2006.07.10;1.2813;1.2816;1.2721;1.2739;1.27986804301;0.0
2006.07.11;1.2738;1.2777;1.2706;1.2766;1.27639974838;0.0
2006.07.12;1.2767;1.2778;1.2675;1.2701;1.27651616406;0.0
2006.07.13;1.2702;1.2729;1.2664;1.2692;1.27267301271;0.0
2006.07.14;1.2691;1.2697;1.2626;1.2652;1.26932535159;0.0
2006.07.17;1.2636;1.2646;1.251;1.252;1.26592288781;0.0
2006.07.18;1.2519;1.2558;1.2473;1.2506;1.25756865725;0.0
2006.07.19;1.2507;1.2608;1.2457;1.2593;1.25272131368;0.0
2006.07.20;1.2594;1.2653;1.2588;1.2627;1.25527221047;0.0
2006.07.21;1.2629;1.2696;1.2626;1.2693;1.26157789182;0.0
2006.07.24;1.2702;1.2706;1.261;1.2633;1.26652573293;0.0
2006.07.25;1.2632;1.2671;1.2563;1.258;1.2650718194;0.0
2006.07.26;1.2579;1.2724;1.2559;1.2713;1.26031982858;0.0
2006.07.27;1.2714;1.277;1.2681;1.2696;1.26618192477;0.0
2006.07.28;1.2697;1.2769;1.2659;1.2758;1.27041005567;0.0
2006.07.31;1.2764;1.2782;1.274;1.2767;1.27280979861;0.0
2006.08.01;1.2768;1.283;1.2719;1.2821;1.2762974742;0.0
2006.08.02;1.282;1.2834;1.2775;1.2789;1.2785207049;0.0
2006.08.03;1.2788;1.2833;1.2742;1.2803;1.27912304856;0.0
2006.08.04;1.2804;1.2908;1.2776;1.2873;1.27884525911;0.0
2006.08.07;1.2883;1.2893;1.2815;1.2817;1.28470828239;0.0
2006.08.08;1.2816;1.2891;1.2807;1.2821;1.28411407348;0.0
2006.08.09;1.2822;1.2902;1.2764;1.2863;1.28450282541;0.0
2006.08.10;1.2864;1.2911;1.2747;1.2793;1.28444025978;0.0
2006.08.11;1.2794;1.2798;1.2715;1.272;1.28128540564;0.0
2006.08.14;1.2712;1.2762;1.2708;1.2722;1.27486350407;0.0
2006.08.15;1.2723;1.2803;1.2695;1.2784;1.27368038026;0.0
2006.08.16;1.2785;1.2863;1.277;1.2843;1.27701044528;0.0
2006.08.17;1.2842;1.2886;1.2813;1.2826;1.28235268576;0.0
2006.08.18;1.2825;1.2844;1.278;1.2824;1.28403088586;0.0
2006.08.21;1.2827;1.2937;1.2827;1.2885;1.28139356863;0.0
2006.08.22;1.2886;1.2887;1.2784;1.2804;1.28769540954;0.0
2006.08.23;1.2803;1.2851;1.2775;1.2787;1.2828147524;0.0
2006.08.24;1.2788;1.2841;1.275;1.2764;1.28058095031;0.0
2006.08.25;1.2765;1.2783;1.2725;1.2751;1.27875895822;0.0
2006.08.28;1.2758;1.282;1.2754;1.2786;1.27646450134;0.0
2006.08.29;1.2785;1.2838;1.275;1.283;1.27864699297;0.0
2006.08.30;1.2829;1.2852;1.2811;1.2837;1.28054096772;0.0
2006.08.31;1.2836;1.2878;1.2785;1.2804;1.28300200705;0.0
